attempt_id,familia,subtipo,n_tx,n_tx_mapeadas
0,FAN-OUT,FAN-OUT:  Max 16-degree Fan-Out,16,16
1,CYCLE,CYCLE:  Max 10 hops,10,10
2,GATHER-SCATTER,GATHER-SCATTER:  Max 3-degree Fan-In,5,5
3,STACK,STACK,22,22
4,GATHER-SCATTER,GATHER-SCATTER:  Max 13-degree Fan-In,17,17
5,RANDOM,RANDOM:  Max 5 hops,5,5
6,CYCLE,CYCLE:  Max 10 hops,10,10
7,FAN-OUT,FAN-OUT:  Max 12-degree Fan-Out,12,12
8,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
9,BIPARTITE,BIPARTITE,13,13
10,RANDOM,RANDOM:  Max 8 hops,8,8
11,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,4,4
12,FAN-IN,FAN-IN:  Max 2-degree Fan-In,2,2
13,BIPARTITE,BIPARTITE,12,12
14,FAN-IN,FAN-IN:  Max 16-degree Fan-In,16,16
15,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,8,8
16,RANDOM,RANDOM:  Max 3 hops,3,3
17,SCATTER-GATHER,SCATTER-GATHER,32,32
18,CYCLE,CYCLE:  Max 10 hops,10,10
19,FAN-IN,FAN-IN:  Max 10-degree Fan-In,10,10
20,FAN-IN,FAN-IN:  Max 2-degree Fan-In,2,2
21,STACK,STACK,2,2
22,BIPARTITE,BIPARTITE,1,1
23,CYCLE,CYCLE:  Max 2 hops,2,2
24,BIPARTITE,BIPARTITE,1,1
25,BIPARTITE,BIPARTITE,11,11
26,FAN-OUT,FAN-OUT:  Max 13-degree Fan-Out,13,13
27,BIPARTITE,BIPARTITE,5,5
28,GATHER-SCATTER,GATHER-SCATTER:  Max 12-degree Fan-In,25,25
29,CYCLE,CYCLE:  Max 3 hops,3,3
30,GATHER-SCATTER,GATHER-SCATTER:  Max 8-degree Fan-In,22,22
31,FAN-IN,FAN-IN:  Max 1-degree Fan-In,1,1
32,STACK,STACK,20,20
33,STACK,STACK,22,22
34,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
35,FAN-OUT,FAN-OUT:  Max 10-degree Fan-Out,10,10
36,STACK,STACK,2,2
37,CYCLE,CYCLE:  Max 7 hops,7,7
38,CYCLE,CYCLE:  Max 2 hops,2,2
39,BIPARTITE,BIPARTITE,14,14
40,STACK,STACK,2,2
41,BIPARTITE,BIPARTITE,4,4
42,FAN-OUT,FAN-OUT:  Max 12-degree Fan-Out,12,12
43,FAN-OUT,FAN-OUT:  Max 8-degree Fan-Out,8,8
44,FAN-IN,FAN-IN:  Max 3-degree Fan-In,3,3
45,SCATTER-GATHER,SCATTER-GATHER,14,14
46,GATHER-SCATTER,GATHER-SCATTER:  Max 15-degree Fan-In,26,26
47,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
48,GATHER-SCATTER,GATHER-SCATTER:  Max 13-degree Fan-In,28,28
49,FAN-OUT,FAN-OUT:  Max 9-degree Fan-Out,9,9
50,FAN-OUT,FAN-OUT:  Max 4-degree Fan-Out,4,4
51,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
52,BIPARTITE,BIPARTITE,6,6
53,SCATTER-GATHER,SCATTER-GATHER,2,2
54,SCATTER-GATHER,SCATTER-GATHER,6,6
55,BIPARTITE,BIPARTITE,11,11
56,STACK,STACK,12,12
57,STACK,STACK,2,2
58,BIPARTITE,BIPARTITE,1,1
59,STACK,STACK,2,2
60,STACK,STACK,30,30
61,CYCLE,CYCLE:  Max 2 hops,2,2
62,CYCLE,CYCLE:  Max 6 hops,6,6
63,SCATTER-GATHER,SCATTER-GATHER,30,30
64,CYCLE,CYCLE:  Max 2 hops,2,2
65,RANDOM,RANDOM:  Max 2 hops,2,2
66,SCATTER-GATHER,SCATTER-GATHER,14,14
67,CYCLE,CYCLE:  Max 4 hops,4,4
68,CYCLE,CYCLE:  Max 2 hops,2,2
69,SCATTER-GATHER,SCATTER-GATHER,2,2
70,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
71,CYCLE,CYCLE:  Max 4 hops,4,4
72,SCATTER-GATHER,SCATTER-GATHER,12,12
73,CYCLE,CYCLE:  Max 3 hops,3,3
74,CYCLE,CYCLE:  Max 5 hops,5,5
75,BIPARTITE,BIPARTITE,7,7
76,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,13,13
77,FAN-OUT,FAN-OUT:  Max 9-degree Fan-Out,9,9
78,RANDOM,RANDOM:  Max 9 hops,9,9
79,GATHER-SCATTER,GATHER-SCATTER:  Max 14-degree Fan-In,24,24
80,SCATTER-GATHER,SCATTER-GATHER,4,4
81,GATHER-SCATTER,GATHER-SCATTER:  Max 12-degree Fan-In,19,19
82,SCATTER-GATHER,SCATTER-GATHER,26,26
83,SCATTER-GATHER,SCATTER-GATHER,18,18
84,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
85,RANDOM,RANDOM:  Max 2 hops,2,2
86,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
87,RANDOM,RANDOM:  Max 1 hops,1,1
88,BIPARTITE,BIPARTITE,5,5
89,CYCLE,CYCLE:  Max 2 hops,2,2
90,FAN-IN,FAN-IN:  Max 16-degree Fan-In,16,16
91,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,21,21
92,FAN-OUT,FAN-OUT:  Max 11-degree Fan-Out,11,11
93,GATHER-SCATTER,GATHER-SCATTER:  Max 15-degree Fan-In,24,24
94,BIPARTITE,BIPARTITE,6,6
95,STACK,STACK,8,8
96,BIPARTITE,BIPARTITE,1,1
97,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
98,BIPARTITE,BIPARTITE,2,2
99,GATHER-SCATTER,GATHER-SCATTER:  Max 3-degree Fan-In,6,6
100,BIPARTITE,BIPARTITE,1,1
101,BIPARTITE,BIPARTITE,1,1
102,CYCLE,CYCLE:  Max 3 hops,3,3
103,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
104,CYCLE,CYCLE:  Max 2 hops,2,2
105,FAN-IN,FAN-IN:  Max 5-degree Fan-In,5,5
106,RANDOM,RANDOM:  Max 6 hops,6,6
107,FAN-IN,FAN-IN:  Max 3-degree Fan-In,3,3
108,SCATTER-GATHER,SCATTER-GATHER,6,6
109,CYCLE,CYCLE:  Max 2 hops,2,2
110,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
111,STACK,STACK,4,4
112,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
113,BIPARTITE,BIPARTITE,2,2
114,FAN-IN,FAN-IN:  Max 10-degree Fan-In,10,10
115,GATHER-SCATTER,GATHER-SCATTER:  Max 11-degree Fan-In,20,20
116,FAN-OUT,FAN-OUT:  Max 7-degree Fan-Out,7,7
117,FAN-OUT,FAN-OUT:  Max 7-degree Fan-Out,7,7
118,GATHER-SCATTER,GATHER-SCATTER:  Max 14-degree Fan-In,21,21
119,STACK,STACK,2,2
120,FAN-IN,FAN-IN:  Max 3-degree Fan-In,3,3
121,BIPARTITE,BIPARTITE,3,3
122,RANDOM,RANDOM:  Max 11 hops,11,11
123,FAN-OUT,FAN-OUT:  Max 4-degree Fan-Out,4,4
124,SCATTER-GATHER,SCATTER-GATHER,26,26
125,FAN-IN,FAN-IN:  Max 12-degree Fan-In,12,12
126,CYCLE,CYCLE:  Max 3 hops,3,3
127,SCATTER-GATHER,SCATTER-GATHER,24,24
128,CYCLE,CYCLE:  Max 7 hops,7,7
129,FAN-IN,FAN-IN:  Max 3-degree Fan-In,3,3
130,CYCLE,CYCLE:  Max 11 hops,11,11
131,FAN-IN,FAN-IN:  Max 10-degree Fan-In,10,10
132,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
133,BIPARTITE,BIPARTITE,1,1
134,SCATTER-GATHER,SCATTER-GATHER,2,2
135,BIPARTITE,BIPARTITE,7,7
136,FAN-OUT,FAN-OUT:  Max 9-degree Fan-Out,9,9
137,CYCLE,CYCLE:  Max 11 hops,11,11
138,FAN-OUT,FAN-OUT:  Max 2-degree Fan-Out,2,2
139,RANDOM,RANDOM:  Max 1 hops,1,1
140,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,5,5
141,STACK,STACK,28,28
142,CYCLE,CYCLE:  Max 2 hops,2,2
143,SCATTER-GATHER,SCATTER-GATHER,26,26
144,STACK,STACK,2,2
145,STACK,STACK,16,16
146,FAN-IN,FAN-IN:  Max 13-degree Fan-In,13,13
147,GATHER-SCATTER,GATHER-SCATTER:  Max 12-degree Fan-In,27,27
148,STACK,STACK,14,14
149,SCATTER-GATHER,SCATTER-GATHER,26,26
150,BIPARTITE,BIPARTITE,12,12
151,FAN-IN,FAN-IN:  Max 16-degree Fan-In,16,16
152,RANDOM,RANDOM:  Max 10 hops,10,10
153,STACK,STACK,2,2
154,CYCLE,CYCLE:  Max 4 hops,4,4
155,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,17,17
156,SCATTER-GATHER,SCATTER-GATHER,2,2
157,RANDOM,RANDOM:  Max 2 hops,2,2
158,SCATTER-GATHER,SCATTER-GATHER,2,2
159,CYCLE,CYCLE:  Max 2 hops,2,2
160,FAN-IN,FAN-IN:  Max 1-degree Fan-In,1,1
161,STACK,STACK,2,2
162,BIPARTITE,BIPARTITE,15,15
163,RANDOM,RANDOM:  Max 7 hops,7,7
164,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
165,RANDOM,RANDOM:  Max 1 hops,1,1
166,CYCLE,CYCLE:  Max 3 hops,3,3
167,BIPARTITE,BIPARTITE,3,3
168,SCATTER-GATHER,SCATTER-GATHER,14,14
169,SCATTER-GATHER,SCATTER-GATHER,24,24
170,GATHER-SCATTER,GATHER-SCATTER:  Max 1-degree Fan-In,2,2
171,CYCLE,CYCLE:  Max 3 hops,3,3
172,BIPARTITE,BIPARTITE,7,7
173,CYCLE,CYCLE:  Max 4 hops,4,4
174,STACK,STACK,2,2
175,STACK,STACK,26,26
176,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,14,14
177,CYCLE,CYCLE:  Max 3 hops,3,3
178,RANDOM,RANDOM:  Max 8 hops,8,8
179,BIPARTITE,BIPARTITE,5,5
180,GATHER-SCATTER,GATHER-SCATTER:  Max 3-degree Fan-In,6,6
181,CYCLE,CYCLE:  Max 10 hops,10,10
182,GATHER-SCATTER,GATHER-SCATTER:  Max 2-degree Fan-In,4,4
183,FAN-IN,FAN-IN:  Max 6-degree Fan-In,6,6
184,SCATTER-GATHER,SCATTER-GATHER,4,4
185,STACK,STACK,24,24
186,FAN-IN,FAN-IN:  Max 15-degree Fan-In,15,15
187,FAN-OUT,FAN-OUT:  Max 3-degree Fan-Out,3,3
188,SCATTER-GATHER,SCATTER-GATHER,2,2
189,CYCLE,CYCLE:  Max 2 hops,2,2
190,STACK,STACK,14,14
191,RANDOM,RANDOM:  Max 8 hops,8,8
192,CYCLE,CYCLE:  Max 8 hops,8,8
193,RANDOM,RANDOM:  Max 4 hops,4,4
194,STACK,STACK,6,6
195,GATHER-SCATTER,GATHER-SCATTER:  Max 10-degree Fan-In,22,22
196,RANDOM,RANDOM:  Max 1 hops,1,1
197,STACK,STACK,10,10
198,FAN-OUT,FAN-OUT:  Max 7-degree Fan-Out,7,7
199,FAN-OUT,FAN-OUT:  Max 1-degree Fan-Out,1,1
200,RANDOM,RANDOM:  Max 2 hops,2,2
